cities,occurences
napoli,368
udine,292
foggia,238
roma,225
trani,189
barletta,189
andria,189
reggio,141
milano,140
palermo,131
venezia,127
gorizia,127
bari,127
verona,126
vicenza,121
padova,117
calabria,117
catania,115
treviso,107
caserta,105
brescia,100
potenza,94
salerno,93
torino,89
none,88
benevento,81
cosenza,79
agrigento,79
firenze,80
l'aquila,78
bergamo,72
caltanissetta,64
campobasso,62
frosinone,60
bologna,61
ancona,59
pavia,56
trapani,54
alessandria,54
pordenone,53
catanzaro,50
avellino,48
perugia,48
lecce,47
rovigo,44
modena,43
genova,42
cuneo,43
teramo,40
monza,40
messina,40
chieti,40
brianza,40
cremona,39
massa,37
forlì,37
carrara,37
parma,36
lucca,36
cesena,37
mantova,35
sud,34
sardegna,34
enna,34
vibo,33
valentia,33
siracusa,33
ferrara,33
viterbo,32
novara,32
ragusa,31
varese,30
sassari,29
rieti,29
brindisi,29
pistoia,28
latina,28
como,29
pisa,25
emilia,25
urbino,24
nuoro,26
isernia,24
pescara,23
pesaro,23
macerata,23
livorno,23
arezzo,23
lodi,22
piacenza,20
vercelli,19
taranto,19
ravenna,19
belluno,19
lecco,18
spezia,17
piceno,17
ascoli,17
matera,16
grosseto,16
asti,16
rimini,15
biella,15
terni,14
oristano,13
fermo,13
siena,11
cagliari,11
sondrio,10
prato,10
savona,9
imperia,7
crotone,6
buenos,5
brasile,5
bolzano,5
aosta,5
aires,5
tunisi,4
trieste,4
marsiglia,4
zurigo,3
verbano,3
ossola,3
d'egitto,3
cusio,3
vienna,2
trento,2
brasilia,2
bellinzona,2
washington,1
unito,1
tolmino,1
roraima,1
rio,1
regno,1
reggia,1
principato,1
paulo,1
paolo,1
pace,1
norte,1
neuchâtel,1
monaco,1
minas,1
malta,1
lussemburgo,1
lugano,1
losanna,1
londra,1
innsbruck,1
illinois,1
grossetto,1
grenoble,1
grande,1
gerais,1
fiume,1
do,1
cuba,1
chiasso,1
chambéry,1
cassino,1
cannes,1
cali,1
cairo,1
budapest,1
bucarest,1
borgo,1
